month,interest,scheduled_principal,prepayment,recovery,loss,total_cf,avg_survival,cumulative_cf,principal_return
163,4195155.114929921,3414625.7776469807,5.812180305925955,0.21647519014283095,0.0721583967142769,7609786.92123238,0.5501776840621566,2319958334.8646917,3414631.8063024767
164,4181787.3169640126,3427993.5331698637,19.884622164755367,1.0630468202098167,0.35434894006994005,7609801.797802874,0.5501776713803308,2327568136.6624947,3428014.4808388483
165,4168362.4060563846,3441418.290717139,0.017533444885841975,0.0038873704797547665,0.0012957901599182555,7609780.718194304,0.5501776713743614,2335177917.380689,3441418.3121379544
166,4154880.2550392128,3454900.4416402704,1.6589952801947623,0.05610067100702806,0.018700223669009357,7609782.411775432,0.550177670143892,2342787699.7924647,3454902.1567362216
167,4141340.5160905966,3468440.1699699084,5.153410576903381,0.1447167477397893,0.048238915913263056,7609785.984187809,0.5501776666579672,2350397485.7766523,3468445.4680972327
168,4127742.915927032,3482037.733647956,6.097578532542404,0.19885007289756892,0.06628335763252291,7609786.946003585,0.5501776627694381,2358007272.722656,3482044.0300765615
169,4114087.195484649,3495693.409419691,4.966911618411083,0.23128707473789425,0.0770956915792982,7609785.803102987,0.5501776596255759,2365617058.5257587,3495698.6076183845
170,4100373.094087504,3509407.47430062,3.831819984821055,0.18701285474870452,0.06233761824956816,7609784.587220926,0.5501776571780461,2373226843.11298,3509411.4931334597
171,4086600.341225253,3523180.198018399,2.198064400253386,0.13762851025269468,0.045876170084231505,7609782.8749365285,0.5501776557232444,2380836625.9879165,3523182.5337113095
172,4072768.6687851963,3537011.8537473073,16.683843971194708,0.933280523713824,0.31109350790460705,7609798.1396569535,0.5501776449029305,2388446424.1275735,3537029.4708718024
173,4058877.740516123,3550902.651042483,0.0,0.0,0.0,7609780.39155863,0.5501776449029305,2396056204.519132,3550902.651042483
174,4044927.4061242584,3564852.9854343873,27.346014008660166,1.448841182435459,0.4829470608118177,7609809.18641382,0.5501776270711609,2403666013.705546,3564881.7802895787
175,4030917.2194932564,3578862.957160232,1.1744915512475818,0.058555803379094114,0.019518601126364707,7609781.409700835,0.5501776263262723,2411275795.115247,3578864.1902075866
176,4016847.110188824,3592933.0576706375,5.342382024544495,0.2139345781278815,0.07131152604262721,7609785.724176061,0.5501776228880443,2418885580.8394227,3592938.61398724
